id,parent,branch_condition,normalization_or_localization,open_condition,vanishing_complement,source_locator,inherited_hypotheses,status,computational_leaf,candidate
Q4-ROOT,,normalized quartic Keller map,translate source/target and normalize DF(0)=I,det(DF(0))!=0,not a Keller map / outside root,Lane 4 handoff setup,k algebraically closed; char(k)=0; F(0)=0; DF(0)=I; det DF=1; deg F<=4,root,,
Q4-DEG3,Q4-ROOT,H4=0,none,none,Q4-NONZERO,Program 2 degree-three theorem,root hypotheses plus deg F<=3,closed-import,,
Q4-NONZERO,Q4-ROOT,H4!=0,none,H4!=0,Q4-DEG3,Lane 4 handoff,root hypotheses,split,,
Q4-RANK1,Q4-NONZERO,rho4=1,constant target rank normalization,chosen leading coordinate nonzero,Q4-RANK2 or Q4-RANK3,rank-one Program 2 input,H4 nonzero and target span one,closed-import,,
Q4-RANK2,Q4-NONZERO,rho4=2,choose two independent leading coordinates and send the third to zero,selected 2x2 target minor nonzero,Q4-RANK1,Program 2 span-two setup,H4 target span two,split,,
Q4-RANK3,Q4-NONZERO,rho4=3,none,selected 3x3 coefficient minor nonzero,Q4-RANK2,Program 2 leading-image setup,H4 target span three,split,,
AUDIT-LEAD-FACT,Q4-RANK3,leading-image factorization interface not verified,"normalize projective leading curve and choose coprime A,B",rational proper basepoint-free normalization established,line image -> Q4-RANK2; basepoint/nonproper/nonrational failure remains here,packet proofs/10-structural-repairs-and-z2.tex,rho4=3; exact normalization hypotheses must be proved,open,,routing interface
S3-CONIC-FIXED,Q4-RANK3,"(deg h,deg A,deg G)=(2,1,2)",conic orbit normalization,orbit invariant nonzero,rank degeneration -> Q4-RANK1/Q4-RANK2; invariant zero -> adjacent conic orbit,packet proofs/20-conic-completion.tex,AUDIT-LEAD-FACT accepted; proper reduced conic; fixed quadratic factor routed,conditional,CW-CONIC-FAMILY,
S3-CONIC-PRIMITIVE,Q4-RANK3,"(deg h,deg A,deg G)=(2,2,0)",quadratic-source chart normalization,selected quadratic-source minor nonzero,minor zero -> adjacent chart or Q4-RANK1/Q4-RANK2; common factor -> fixed owner,Program 2 quadratic-source bundle,AUDIT-LEAD-FACT accepted; coprime basepoint-free quadratic source,conditional,CW-QUAD-SOURCE,
S3-CUBIC,Q4-RANK3,"(deg h,deg A,deg G)=(3,1,1)",cusp/node and marked-factor orbit normalization,selected translation/stabilizer invariant nonzero,zero invariant -> marked/tangent/fiber orbit; reducible/nonproper -> lower curve owner,packet proofs/30-rational-cubic.tex,AUDIT-LEAD-FACT accepted; proper reduced rational cubic,conditional,CW-RATIONAL-CUBIC,
